BOLD sample ID	Family	Species	GenBank Accession	Sequence length	Country	Lat	Lon
ZMUO.005608	Dytiscidae	Agabus congener	KJ962752	658[0n]	Finland	60.012	20.186
ZMUO.005639	Dytiscidae	Agabus congener	KJ966343	632[0n]	Finland	60.012	20.186
ZMUO.003125	Dytiscidae	Agabus fuscipennis	KJ963338	658[0n]	Finland	67.806	29.295
ZMUO.007368	Dytiscidae	Agabus guttatus	KJ966742	658[0n]	Finland	67.011	27.221
ZMUO.006892	Dytiscidae	Agabus guttatus	KJ966953	658[0n]	Finland	68.004	24.121
ZMUO.006893	Dytiscidae	Agabus guttatus	KJ961776	658[0n]	Finland	68.004	24.121
ZMUO.002469	Dytiscidae	Agabus guttatus	KJ967205	658[0n]	Finland	68.421	27.440
ZMUO.003200	Dytiscidae	Agabus infuscatus	KJ961828	658[0n]	Finland	68.460	28.433
ZMUO.003209	Dytiscidae	Agabus infuscatus	KJ961797	658[0n]	Finland	68.460	28.433
ZMUO.003187	Dytiscidae	Agabus labiatus	KJ964094	658[0n]	Finland	68.460	28.433
ZMUO.003202	Dytiscidae	Agabus labiatus	KJ965290	658[0n]	Finland	68.460	28.433
ZMUO.006962	Dytiscidae	Agabus lapponicus	KJ963151	658[0n]	Finland	65.812	24.692
ZMUO.003195	Dytiscidae	Agabus lapponicus	KJ964812	658[0n]	Finland	68.460	28.433
ZMUO.003208	Dytiscidae	Agabus lapponicus	KJ964942	658[0n]	Finland	68.460	28.433
ZMUO.006905	Dytiscidae	Agabus lapponicus	KJ963341	658[0n]	Finland	68.004	24.121
ZMUO.006050	Dytiscidae	Agabus lapponicus	KJ962109	658[0n]	Finland	68.004	24.121
ZMUO.004785	Dytiscidae	Agabus paludosus	KJ967101	658[0n]	Finland	60.174	24.609
ZMUO.006845	Dytiscidae	Agabus serricornis	KJ966437	658[0n]	Finland	66.869	27.457
ZMUO.006027	Dytiscidae	Agabus serricornis	KJ967035	658[0n]	Finland	67.806	29.297
ZMUO.006847	Dytiscidae	Agabus sturmii	KJ962350	658[0n]	Finland	66.869	27.457
ZMUO.005060	Dytiscidae	Agabus sturmii	KJ962856	658[0n]	Finland	60.176	19.788
ZMUO.004295	Dytiscidae	Agabus thomsoni	KJ963639	658[0n]	Finland	65.811	24.692
ZMUO.004296	Dytiscidae	Agabus thomsoni	KJ965772	658[0n]	Finland	65.811	24.692
ZMUO.006841	Dytiscidae	Agabus thomsoni	KJ963555	658[0n]	Finland	66.869	27.457
ZMUO.007089	Dytiscidae	Agabus uliginosus	KJ964410	606[0n]	Finland	60.232	19.919
ZMUO.001097	Dytiscidae	Agabus uliginosus	KJ962462	658[0n]	Finland	60.233	19.919
ZMUO.004146	Dytiscidae	Agabus undulatus	KJ964257	658[0n]	Estonia	58.272	26.392
ZMUO.004161	Dytiscidae	Agabus undulatus	KJ965682	658[0n]	Estonia	58.272	26.392
ZMUO.007087	Dytiscidae	Agabus unguicularis	KJ966118	658[0n]	Finland	60.232	19.919
ZMUO.001494	Dytiscidae	Agabus unguicularis	KJ964263	658[0n]	Finland	65.033	24.577
ZMUO.004380	Cerambycidae	Agapanthia villosoviridescens	KJ965005	658[0n]	Finland	60.223	25.169
ZMUO.001929	Cerambycidae	Agapanthia villosoviridescens	KJ965644	658[0n]	Finland	61.541	29.492
ZMUO.000686	Cerambycidae	Agapanthia villosoviridescens	KJ962456	658[0n]	Finland	61.538	29.552
ZMUO.000670	Cerambycidae	Agapanthia villosoviridescens	KJ962889	658[0n]	Russia		
ZMUO.003177	Leiodidae	Agathidium arcticum	KJ965110	658[0n]	Finland	67.699	29.715
ZMUO.003973	Leiodidae	Agathidium seminulum	KJ962411	658[0n]	Finland	65.137	25.855
ZMUO.007416	Chrysomelidae	Agelastica alni	KJ961968	658[0n]	Estonia	58.017	25.879
ZMUO.004943	Chrysomelidae	Agelastica alni	KJ966955	658[0n]	Finland	60.177	24.702
ZMUO.004076	Chrysomelidae	Agelastica alni	KJ966710	658[0n]	Finland	60.190	25.137
ZMUO.001452	Chrysomelidae	Agelastica alni	KJ966688	658[0n]	Finland	60.220	25.005
ZMUO.006053	Carabidae	Agonum consimile	KJ967006	658[0n]	Finland	67.712	24.093
ZMUO.006054	Carabidae	Agonum consimile	KJ963645	658[0n]	Finland	67.712	24.093
ZMUO.006981	Carabidae	Agonum consimile	KJ964343	658[0n]	Finland	68.021	24.097
ZMUO.006690	Carabidae	Agonum emarginatum	KJ967388	658[0n]	Finland	60.090	19.917
ZMUO.006704	Carabidae	Agonum emarginatum	KJ962619	658[0n]	Finland	60.090	19.917
ZMUO.005607	Carabidae	Agonum emarginatum	KJ961760	658[0n]	Finland	60.012	20.186
ZMUO.005610	Carabidae	Agonum emarginatum	KJ962006	658[0n]	Finland	60.012	20.186
ZMUO.005644	Carabidae	Agonum emarginatum	KJ966924	658[0n]	Finland	60.012	20.186
ZMUO.005865	Carabidae	Agonum emarginatum	KJ964120	658[0n]	Sweden	56.794	16.571
ZMUO.003275	Carabidae	Agonum ericeti	KJ964876	658[0n]	Finland	65.237	26.232
ZMUO.005987	Carabidae	Agonum ericeti	KJ963680	658[0n]	Finland	67.747	28.991
ZMUO.000729	Carabidae	Agonum ericeti	KJ962724	658[0n]	Finland	60.522	26.590
ZMUO.003327	Carabidae	Agonum fuliginosum	KJ962600	658[0n]	Estonia	58.278	27.328
ZMUO.004489	Carabidae	Agonum fuliginosum	KJ966120	658[0n]	Finland	60.172	23.913
ZMUO.005645	Carabidae	Agonum fuliginosum	KJ961932	658[0n]	Finland	60.012	20.186
ZMUO.002429	Carabidae	Agonum fuliginosum	KJ965059	658[0n]	Finland	65.063	25.471
ZMUO.001209	Carabidae	Agonum fuliginosum	KJ966316	658[0n]	Finland	60.233	19.919
ZMUO.000822	Carabidae	Agonum fuliginosum	KJ965831	658[0n]	Finland	60.435	26.870
ZMUO.001689	Carabidae	Agonum fuliginosum	KJ967304	658[0n]	Finland	65.033	25.418
ZMUO.002554	Carabidae	Agonum fuliginosum	KJ967411	658[0n]	Finland	65.023	25.425
ZMUO.006098	Carabidae	Agonum gracile	KJ963694	658[0n]	Finland	66.172	23.860
ZMUO.005082	Carabidae	Agonum hypocrita	KJ967419	658[0n]	Finland	60.256	19.630
ZMUO.007006	Carabidae	Agonum hypocrita	KJ964434	658[0n]	Finland	60.260	19.625
ZMUO.007007	Carabidae	Agonum hypocrita	KJ962716	658[0n]	Finland	60.260	19.625
ZMUO.007345	Carabidae	Agonum marginatum	KJ967066	658[0n]	Finland	60.165	19.536
ZMUO.006687	Carabidae	Agonum marginatum	KJ964808	658[0n]	Finland	60.090	19.917
ZMUO.005173	Carabidae	Agonum marginatum	KJ962402	613[0n]	Finland	59.825	23.014
ZMUO.005066	Carabidae	Agonum marginatum	KJ966672	658[0n]	Finland	60.090	19.917
ZMUO.004789	Carabidae	Agonum muelleri	KJ962454	622[0n]	Finland	60.159	24.613
ZMUO.004316	Carabidae	Agonum muelleri	KJ966500	658[0n]	Finland	61.442	27.381
ZMUO.006793	Carabidae	Agonum piceum	KJ967317	658[0n]	Finland	65.781	24.212
ZMUO.006097	Carabidae	Agonum piceum	KJ962939	658[0n]	Finland	66.172	23.860
ZMUO.000464	Carabidae	Agonum piceum	KJ964862	656[2n]	Finland	64.969	24.720
ZMUO.006682	Carabidae	Agonum sexpunctatum	KJ965478	658[0n]	Finland	60.090	19.917
ZMUO.002421	Carabidae	Agonum sexpunctatum	KJ967314	658[0n]	Finland	65.063	25.471
ZMUO.004392	Carabidae	Agonum sexpunctatum	KJ964555	658[0n]	Finland	60.154	24.720
ZMUO.005418	Carabidae	Agonum sexpunctatum	KJ961883	658[0n]	Finland	61.456	27.403
ZMUO.002066	Carabidae	Agonum sexpunctatum	KJ961940	658[0n]	Finland	60.178	19.786
ZMUO.004490	Carabidae	Agonum thoreyi	KJ964420	658[0n]	Finland	60.172	23.913
ZMUO.005617	Carabidae	Agonum thoreyi	KJ963062	658[0n]	Finland	60.012	20.186
ZMUO.001092	Carabidae	Agonum thoreyi	KJ965419	658[0n]	Finland	60.233	19.919
ZMUO.003404	Carabidae	Agonum thoreyi	KJ962494	658[0n]	Finland	59.837	23.164
ZMUO.004402	Carabidae	Agonum thoreyi	KJ963124	658[0n]	Finland	60.200	25.028
ZMUO.001688	Carabidae	Agonum thoreyi	KJ965775	658[0n]	Finland	65.033	25.418
ZMUO.006624	Carabidae	Agonum viduum	KJ963300	658[0n]	Finland	60.179	19.788
ZMUO.003119	Carabidae	Agonum viduum	KJ964063	610[0n]	Finland	64.276	23.851
ZMUO.003409	Carabidae	Agonum viduum	KJ965768	658[0n]	Finland	59.837	23.164
ZMUO.005124	Carabidae	Agonum viduum	KJ962092	622[0n]	Finland	61.450	27.413
ZMUO.001410	Carabidae	Agonum viduum	KJ961735	658[0n]	Finland	61.497	25.698
ZMUO.006001	Carabidae	Agonum viduum	KJ963133	658[0n]	Finland	64.823	24.632
ZMUO.005951	Carabidae	Agonum viduum	KJ965174	658[0n]	Sweden	56.938	16.406
ZMUO.007559	Buprestidae	Agrilus angustulus	KJ963430	658[0n]	Estonia	58.319	22.628
ZMUO.007560	Buprestidae	Agrilus angustulus	KJ967113	658[0n]	Estonia	58.319	22.628
ZMUO.007561	Buprestidae	Agrilus angustulus	KJ966565	658[0n]	Estonia	58.319	22.628
ZMUO.005882	Buprestidae	Agrilus betuleti	KJ768192	658[0n]	Finland	60.111	22.944
MP00101	Buprestidae	Agrilus betuleti	HM909146	658[0n]	Finland	61.723	27.897
ZMUO.007525	Buprestidae	Agrilus mendax	KJ962013	658[0n]	Finland	61.040	25.140
ZMUO.005919	Buprestidae	Agrilus pratensis	KJ768193	658[0n]	Finland	60.314	24.258
ZMUO.005160	Buprestidae	Agrilus subauratus	KJ768194	632[0n]	Finland	60.672	27.980
ZMUO.007557	Buprestidae	Agrilus sulcicollis	KJ961784	658[0n]	Estonia	58.319	22.628
ZMUO.007558	Buprestidae	Agrilus sulcicollis	KJ965742	658[0n]	Estonia	58.319	22.628
ZMUO.007522	Buprestidae	Agrilus sulcicollis	KJ966931	658[0n]	Finland	60.427	22.177
ZMUO.007523	Buprestidae	Agrilus sulcicollis	KJ964258	658[0n]	Finland	60.427	22.177
ZMUO.005949	Buprestidae	Agrilus suvorovi	KJ768195	515[0n]	Sweden	56.974	16.071
MP00092	Buprestidae	Agrilus viridis	HM909141	658[0n]	Finland	67.475	23.873
MP00093	Buprestidae	Agrilus viridis	HM909142	641[0n]	Finland	67.475	23.873
MP00094	Buprestidae	Agrilus viridis	HM909143	590[1n]	Finland	67.475	23.873
MP00096	Buprestidae	Agrilus viridis	HM909144	602[0n]	Finland	67.475	23.873
MP00099	Buprestidae	Agrilus viridis	HM909145	632[0n]	Finland	67.475	23.873
MP00019	Buprestidae	Agrilus viridis	HM909112	658[0n]	Finland	65.107	25.808
MP00020	Buprestidae	Agrilus viridis	HM909113	658[0n]	Finland	65.107	25.808
MP00022	Buprestidae	Agrilus viridis	HM909114	658[0n]	Finland	65.108	25.808
MP00023	Buprestidae	Agrilus viridis	HM909115	658[0n]	Finland	65.108	25.808
MP00025	Buprestidae	Agrilus viridis	HM909116	658[0n]	Finland	65.108	25.808
MP00026	Buprestidae	Agrilus viridis	HM909117	602[0n]	Finland	65.108	25.809
MP00028	Buprestidae	Agrilus viridis	HM909118	651[0n]	Finland	65.108	25.809
MP00029	Buprestidae	Agrilus viridis	HM909119	599[0n]	Finland	65.108	25.809
MP00048	Buprestidae	Agrilus viridis	HM909120	590[0n]	Finland	65.900	24.471
MP00049	Buprestidae	Agrilus viridis	HM909121	658[0n]	Finland	65.900	24.471
MP00050	Buprestidae	Agrilus viridis	HM909122	658[0n]	Finland	65.900	24.471
MP00051	Buprestidae	Agrilus viridis	HM909123	658[0n]	Finland	65.900	24.471
MP00052	Buprestidae	Agrilus viridis	HM909124	607[0n]	Finland	65.900	24.471
MP00053	Buprestidae	Agrilus viridis	HM909125	658[0n]	Finland	65.900	24.471
MP00054	Buprestidae	Agrilus viridis	HM909126	541[0n]	Finland	65.900	24.471
MP00055	Buprestidae	Agrilus viridis	HM909127	658[0n]	Finland	65.900	24.471
MP00056	Buprestidae	Agrilus viridis	HM909128	658[0n]	Finland	65.900	24.471
MP00057	Buprestidae	Agrilus viridis	HM909129	658[0n]	Finland	65.900	24.471
MP00058	Buprestidae	Agrilus viridis	HM909130	658[0n]	Finland	61.723	27.897
MP00059	Buprestidae	Agrilus viridis	HM909131	616[0n]	Finland	61.723	27.897
MP00060	Buprestidae	Agrilus viridis	HM909132	658[0n]	Finland	61.723	27.897
MP00061	Buprestidae	Agrilus viridis	HM909133	658[0n]	Finland	61.723	27.897
MP00062	Buprestidae	Agrilus viridis	HM909134	658[0n]	Finland	61.723	27.897
MP00063	Buprestidae	Agrilus viridis	HM909135	658[0n]	Finland	61.723	27.897
MP00064	Buprestidae	Agrilus viridis	HM909136	658[0n]	Finland	61.723	27.897
MP00065	Buprestidae	Agrilus viridis	HM909137	658[0n]	Finland	61.723	27.897
MP00066	Buprestidae	Agrilus viridis	HM909138	632[0n]	Finland	65.139	25.869
MP00067	Buprestidae	Agrilus viridis	HM909139	658[0n]	Finland	65.139	25.869
MP00078	Buprestidae	Agrilus viridis	HM909140	658[0n]	Finland	65.139	25.869
MP00102	Buprestidae	Agrilus viridis	HM909147	658[0n]	Finland	61.723	27.897
MP00103	Buprestidae	Agrilus viridis	HM909148	658[0n]	Finland	61.723	27.897
MP00104	Buprestidae	Agrilus viridis	HM909149	658[0n]	Finland	61.723	27.897
MP00106	Buprestidae	Agrilus viridis	HM909150	658[0n]	Finland	61.723	27.897
MP00107	Buprestidae	Agrilus viridis	HM909151	658[0n]	Finland	61.723	27.897
MP00108	Buprestidae	Agrilus viridis	HM909152	658[0n]	Finland	61.723	27.897
MP00109	Buprestidae	Agrilus viridis	HM909153	658[0n]	Finland	61.723	27.897
MP00110	Buprestidae	Agrilus viridis	HM909154	658[0n]	Finland	61.723	27.897
MP00111	Buprestidae	Agrilus viridis	HM909155	658[0n]	Finland	61.723	27.897
ZMUO.001151	Buprestidae	Agrilus viridis	KJ768196	658[0n]	Latvia	57.672	25.994
ZMUO.007423	Elateridae	Agriotes lineatus	KJ963084	658[0n]	Estonia	58.017	25.879
ZMUO.006830	Elateridae	Agriotes lineatus	KJ962514	658[0n]	Finland	60.067	20.270
ZMUO.000407	Elateridae	Agriotes lineatus	KJ965410	658[0n]	Finland	60.580	27.202
ZMUO.005884	Elateridae	Agriotes lineatus	KJ967014	658[0n]	Finland	60.111	22.944
ZMUO.007385	Elateridae	Agriotes lineatus	KJ966025	658[0n]	Finland	59.825	23.046
ZMUO.001841	Elateridae	Agriotes lineatus	KJ963220	658[0n]	Finland	60.189	21.926
ZMUO.005748	Elateridae	Agriotes obscurus	KJ962218	658[0n]	Finland	60.218	19.549
ZMUO.006100	Elateridae	Agriotes obscurus	KJ965933	658[0n]	Finland	66.172	23.860
ZMUO.005469	Elateridae	Agriotes obscurus	KJ964236	658[0n]	Finland	60.175	24.702
ZMUO.005815	Elateridae	Agriotes sputator	KJ966249	658[0n]	Sweden	56.528	16.532
ZMUO.007289	Elateridae	Agriotes sputator	KJ966203	658[0n]	Sweden	56.516	16.441
ZMUO.004269	Elateridae	Agrypnus murinus	KJ966735	658[0n]	Estonia	57.991	25.938
ZMUO.004270	Elateridae	Agrypnus murinus	KJ965676	658[0n]	Estonia	57.991	25.938
ZMUO.005809	Elateridae	Agrypnus murinus	KJ963738	657[0n]	Sweden	56.528	16.532
ZMUO.005832	Elateridae	Agrypnus murinus	KJ966443	657[0n]	Sweden	56.528	16.532
ZMUO.006419	Elateridae	Agrypnus murinus	KJ966649	658[0n]	Sweden	56.750	16.547
ZMUO.000391	Silvanidae	Ahasverus advena	KJ966309	658[0n]	Finland	60.580	27.202
